,Player,Mat,Inn,NO,Runs,Avg,100,50,Point,catagory
599,DS Atkinson (WI),22,35.0,6.0,922.0,31.79,1.0,5.0,2.7747565091614876,4
600,JA Raval (NZ),23,37.0,1.0,1100.0,30.55,1.0,7.0,2.7687120778352448,4
601,OJ Phillips (WI),2,4.0,0.0,160.0,40.0,0.0,1.0,2.766153149191955,4
602,RG Nadkarni (INDIA),41,67.0,12.0,1414.0,25.7,1.0,7.0,2.734401028877574,4
603,PA Patel (INDIA),25,38.0,8.0,934.0,31.13,0.0,6.0,2.732769750704182,4
604,PM Toohey (AUS),15,29.0,1.0,893.0,31.89,1.0,7.0,2.732647083658551,4
605,CN Frank (SA),3,6.0,0.0,236.0,39.33,1.0,0.0,2.7314185562093334,4
606,MA Starc (AUS),56,84.0,17.0,1493.0,22.28,0.0,10.0,2.714113452602745,4
607,JDS Neesham (NZ),12,22.0,1.0,709.0,33.76,2.0,4.0,2.706149961249208,4
608,PJ Moor (ZIM),8,16.0,1.0,533.0,35.53,0.0,5.0,2.706044696839339,4
609,FCM Alexander (WI),25,38.0,6.0,961.0,30.03,1.0,7.0,2.7010431163189708,4
610,AEV Hartkopf (AUS),1,2.0,0.0,80.0,40.0,0.0,1.0,2.680206303083578,4
611,FI de Caires (WI),3,6.0,0.0,232.0,38.66,0.0,2.0,2.669704031604561,4
612,JAJ Christy (SA),10,18.0,0.0,618.0,34.33,1.0,5.0,2.6569334379777456,4
613,AE Trott (AUS/ENG),5,9.0,3.0,228.0,38.0,0.0,2.0,2.64612068180496,4
614,SD Hope (WI),31,58.0,3.0,1498.0,27.23,2.0,5.0,2.640565895281339,4
615,S Wettimuny (SL),23,43.0,1.0,1221.0,29.07,2.0,6.0,2.635685754814206,4
616,MD Marshall (WI),81,107.0,11.0,1810.0,18.85,0.0,10.0,2.6305969948710004,4
617,EJM Cowan (AUS),18,32.0,0.0,1001.0,31.28,1.0,6.0,2.6264993407786528,4
618,RG Samuels (WI),6,12.0,2.0,372.0,37.2,1.0,1.0,2.621430067603299,4
619,FG Mann (ENG),7,12.0,2.0,376.0,37.6,1.0,0.0,2.6182446376273143,4
620,BAF Grieve (ENG),2,3.0,2.0,40.0,40.0,0.0,0.0,2.6173482277820352,4
621,KS More (INDIA),49,64.0,14.0,1285.0,25.7,0.0,7.0,2.615797562751597,4
622,DS Smith (WI),43,76.0,2.0,1760.0,23.78,1.0,8.0,2.5986170737219503,4
623,CA Roach (WI),16,32.0,1.0,952.0,30.7,2.0,6.0,2.5925017634570326,4
624,AG Steel (ENG),13,20.0,3.0,600.0,35.29,2.0,0.0,2.5826235605738534,4
625,LA Walcott (WI),1,2.0,1.0,40.0,40.0,0.0,0.0,2.5758461517767453,4
626,Rahmat Shah (AFG),4,8.0,0.0,298.0,37.25,1.0,2.0,2.574488624525163,4
627,TR Veivers (AUS),21,30.0,4.0,813.0,31.26,0.0,7.0,2.5645003050000623,4
628,JT Brown (ENG),8,16.0,3.0,470.0,36.15,1.0,1.0,2.5571220824495704,4
629,HR Adhikari (INDIA),21,36.0,8.0,872.0,31.14,1.0,4.0,2.552007730300948,4
630,RS Madugalle (SL),21,39.0,4.0,1029.0,29.4,1.0,7.0,2.5491978386814877,4
631,Z de Bruyn (SA),3,5.0,1.0,155.0,38.75,0.0,1.0,2.5477776449000284,4
632,SA Thomson (NZ),19,35.0,4.0,958.0,30.9,1.0,5.0,2.5466906454880136,4
633,MDKJ Perera (SL),18,33.0,3.0,934.0,31.13,2.0,4.0,2.5441795179050133,4
634,Imrul Kayes (BDESH),39,76.0,2.0,1797.0,24.28,3.0,4.0,2.5281902004955046,4
635,GRJ Roope (ENG),21,32.0,4.0,860.0,30.71,0.0,7.0,2.506317696154191,4
636,J Dyson (AUS),30,58.0,7.0,1359.0,26.64,2.0,5.0,2.4970201612512777,4
637,Shan Masood (PAK),19,37.0,0.0,1089.0,29.43,2.0,6.0,2.4919119763571396,4
638,BD Julien (WI),24,34.0,6.0,866.0,30.92,2.0,3.0,2.489440840016596,4
639,JDC Goddard (WI),27,39.0,11.0,859.0,30.67,0.0,4.0,2.4843105552857274,4
640,A D'Souza (PAK),6,10.0,8.0,76.0,38.0,0.0,0.0,2.471097407614965,4
641,CL McCool (AUS),14,17.0,4.0,459.0,35.3,1.0,1.0,2.467029462584356,4
642,FJ Titmus (ENG),53,76.0,11.0,1449.0,22.29,0.0,10.0,2.4443328133611866,4
643,Wajahatullah Wasti (PAK),6,10.0,1.0,329.0,36.55,2.0,0.0,2.436023125770637,4
644,BW Sinclair (NZ),21,40.0,1.0,1148.0,29.43,3.0,3.0,2.4295566058275044,4
645,CK Kapugedera (SL),8,15.0,3.0,418.0,34.83,0.0,4.0,2.416718215408577,4
646,SC Cook (SA),11,19.0,0.0,632.0,33.26,3.0,2.0,2.4095344836255057,4
647,DJ Richardson (SA),42,64.0,8.0,1359.0,24.26,1.0,8.0,2.3975605456160287,4
648,Sami Aslam (PAK),13,25.0,1.0,758.0,31.58,0.0,7.0,2.395808291938977,4
649,JR Watkins (AUS),1,2.0,1.0,39.0,39.0,0.0,0.0,2.3698709663642026,4
650,A Bacher (SA),12,22.0,1.0,679.0,32.33,0.0,6.0,2.3543335955008344,4
651,MT Renshaw (AUS),11,20.0,1.0,636.0,33.47,1.0,3.0,2.3499149447869945,4
652,BP Patel (INDIA),21,38.0,5.0,972.0,29.45,1.0,5.0,2.334015539363945,4
653,WL Murdoch (AUS/ENG),19,34.0,5.0,908.0,31.31,2.0,1.0,2.331496552934526,4
654,CJ Anderson (NZ),13,22.0,1.0,683.0,32.52,1.0,4.0,2.327489028737395,4
655,Intikhab Alam (PAK),47,77.0,10.0,1493.0,22.28,1.0,8.0,2.325169841412535,4
656,CR Woakes (ENG),32,53.0,11.0,1145.0,27.26,1.0,4.0,2.307112881026118,4
657,AJ Pithey (SA),17,27.0,1.0,819.0,31.5,1.0,4.0,2.3068108909431877,4
658,RA Hutton (ENG),5,8.0,2.0,219.0,36.5,0.0,2.0,2.3008393276355497,4
659,JM Parker (NZ),36,63.0,2.0,1498.0,24.55,3.0,5.0,2.2998132171947505,4
660,M Kaif (INDIA),13,22.0,3.0,624.0,32.84,1.0,3.0,2.2958518592400496,4
661,JWHT Douglas (ENG),23,35.0,2.0,962.0,29.15,1.0,6.0,2.2893784550273026,4
662,P Willey (ENG),26,50.0,6.0,1184.0,26.9,2.0,5.0,2.2805317833010377,4
663,NR Mongia (INDIA),44,68.0,8.0,1442.0,24.03,1.0,6.0,2.276994204552144,4
664,EL Dalton (SA),15,24.0,2.0,698.0,31.72,2.0,3.0,2.2561020094169404,4
665,J Moroney (AUS),7,12.0,1.0,383.0,34.81,2.0,1.0,2.245879578243541,4
666,Faisal Iqbal (PAK),26,44.0,2.0,1124.0,26.76,1.0,8.0,2.2389955130160013,4
667,Javed Omar (BDESH),40,80.0,2.0,1720.0,22.05,1.0,8.0,2.2368227885266507,4
668,GC White (SA),17,31.0,2.0,872.0,30.06,2.0,4.0,2.2308677276923063,4
669,RR Lindwall (AUS),61,84.0,13.0,1502.0,21.15,2.0,5.0,2.2062474912431234,4
670,Hanumant Singh (INDIA),14,24.0,2.0,686.0,31.18,1.0,5.0,2.205941720281653,4
671,APF Chapman (ENG),26,36.0,4.0,925.0,28.9,1.0,5.0,2.1971154294688318,4
672,S Mushtaq Ali (INDIA),11,20.0,1.0,612.0,32.21,2.0,3.0,2.193129696052403,4
673,V Pollard (NZ),32,59.0,7.0,1266.0,24.34,2.0,7.0,2.1930809273954854,4
674,S Ranatunga (SL),9,17.0,1.0,531.0,33.18,2.0,2.0,2.1855429530565775,4
675,Azhar Mahmood (PAK),21,34.0,4.0,900.0,30.0,3.0,1.0,2.175502718567873,4
676,LPC Silva (SL),11,17.0,1.0,537.0,33.56,1.0,2.0,2.170075377501024,4
677,Asghar Afghan (AFG),4,7.0,0.0,249.0,35.57,0.0,3.0,2.166314883521814,4
678,PR Reiffel (AUS),35,50.0,14.0,955.0,26.52,0.0,6.0,2.162376653546595,4
679,MJ Stewart (ENG),8,12.0,1.0,385.0,35.0,0.0,2.0,2.159368113702378,4
680,Shahriar Nafees (BDESH),24,48.0,0.0,1267.0,26.39,1.0,7.0,2.1476657669648667,4
681,Ibrahim Zadran (AFG),2,4.0,0.0,148.0,37.0,0.0,1.0,2.1424469564786346,4
682,NF Williams (ENG),1,1.0,0.0,38.0,38.0,0.0,0.0,2.1323944019641408,4
683,DM Bess (ENG),2,3.0,0.0,111.0,37.0,0.0,1.0,2.1064007607585626,4
684,WAS Oldfield (AUS),54,80.0,17.0,1427.0,22.65,0.0,4.0,2.0912377326297875,4
685,EH Bowley (ENG),5,7.0,0.0,252.0,36.0,1.0,0.0,2.090219462260572,4
686,G Miller (ENG),34,51.0,4.0,1213.0,25.8,0.0,7.0,2.0882174444247052,4
687,N Boje (SA),43,62.0,10.0,1312.0,25.23,0.0,4.0,2.0815206611646677,4
688,JWH Makepeace (ENG),4,8.0,0.0,279.0,34.87,1.0,2.0,2.073592774551533,4
689,Mohammad Rizwan (PAK),5,8.0,2.0,215.0,35.83,0.0,1.0,2.06280866216409,4
690,AG Chipperfield (AUS),14,20.0,3.0,552.0,32.47,1.0,2.0,2.0611831247379166,4
691,B Lee (AUS),76,90.0,18.0,1451.0,20.15,0.0,5.0,2.053257913062197,4
692,FT Mann (ENG),5,9.0,1.0,281.0,35.12,0.0,2.0,2.050363433177549,4
693,PN Kirsten (SA),12,22.0,2.0,626.0,31.3,1.0,4.0,2.0495915273378236,4
694,JM Brearley (ENG),39,66.0,3.0,1442.0,22.88,0.0,9.0,2.0465112096776394,4
695,RWT Key (ENG),15,26.0,1.0,775.0,31.0,1.0,3.0,2.0457123486109206,4
696,TM Moody (AUS),8,14.0,0.0,456.0,32.57,2.0,3.0,2.043941584011262,4
697,JL Denly (ENG),11,21.0,0.0,651.0,31.0,0.0,6.0,2.021754570140562,4
698,MW Tate (ENG),39,52.0,5.0,1198.0,25.48,1.0,5.0,2.0159537036666317,4
699,AR Lewis (ENG),9,16.0,2.0,457.0,32.64,1.0,3.0,2.0146114080383093,4
700,IJ Siedle (SA),18,34.0,0.0,977.0,28.73,1.0,5.0,2.014159692378339,4
701,PS McDonnell (AUS),19,34.0,1.0,955.0,28.93,3.0,2.0,2.0113496307976444,4
702,M Muralitharan (ICC/SL),133,164.0,56.0,1261.0,11.67,0.0,1.0,2.007666482041154,4
703,AK Davidson (AUS),44,61.0,7.0,1328.0,24.59,0.0,5.0,1.9983320266066351,4
704,GP Swann (ENG),60,76.0,14.0,1370.0,22.09,0.0,5.0,1.9907477591843117,4
705,EJG Morgan (ENG),16,24.0,1.0,700.0,30.43,2.0,3.0,1.9832878389189081,4
706,Shadab Khan (PAK),5,9.0,2.0,240.0,34.28,0.0,3.0,1.9686582707516005,4
707,RH Spooner (ENG),10,15.0,0.0,481.0,32.06,1.0,4.0,1.9681011126744332,4
708,Mohammad Wasim (PAK),18,28.0,2.0,783.0,30.11,2.0,2.0,1.9613500153936605,4
709,Saleem Yousuf (PAK),32,44.0,5.0,1055.0,27.05,0.0,5.0,1.9608734936671204,4
710,Alimuddin (PAK),25,45.0,2.0,1091.0,25.37,2.0,7.0,1.9541285558932526,4
711,MG Bevan (AUS),18,30.0,3.0,785.0,29.07,0.0,6.0,1.9497264992058712,4
712,RS Bopara (ENG),13,19.0,1.0,575.0,31.94,3.0,0.0,1.94532887253407,4
713,Khurram Manzoor (PAK),16,30.0,1.0,817.0,28.17,1.0,7.0,1.9422765139879963,4
714,SA Durani (INDIA),29,50.0,2.0,1202.0,25.04,1.0,7.0,1.941723563979847,4
715,GR Stead (NZ),5,8.0,0.0,278.0,34.75,0.0,2.0,1.9409620051506038,4
716,JFW Nicolson (SA),3,5.0,0.0,179.0,35.8,0.0,1.0,1.9382406206010572,4
717,GJ Cosier (AUS),18,32.0,1.0,897.0,28.93,2.0,3.0,1.9200724587762146,4
718,HMRKB Herath (SL),93,144.0,28.0,1699.0,14.64,0.0,3.0,1.9107907553043224,4
719,HH Pandya (INDIA),11,18.0,1.0,532.0,31.29,1.0,4.0,1.9088165152572496,4
720,DA Allen (ENG),39,51.0,15.0,918.0,25.5,0.0,5.0,1.90278797569142,4
721,GS Ramchand (INDIA),33,53.0,5.0,1180.0,24.58,2.0,5.0,1.8892192286409235,4
722,MR Marsh (AUS),32,55.0,5.0,1260.0,25.2,2.0,3.0,1.886694162547556,4
723,MJ Susskind (SA),5,8.0,0.0,268.0,33.5,0.0,4.0,1.8736498716427672,4
724,Imran Nazir (PAK),8,13.0,0.0,427.0,32.84,2.0,1.0,1.8726967012941556,4
725,Rajin Saleh (BDESH),24,46.0,2.0,1141.0,25.93,0.0,7.0,1.8688118298609462,4
726,ED Solkar (INDIA),27,48.0,6.0,1068.0,25.42,1.0,6.0,1.8681103338372393,4
727,SSJ Brooks (WI),3,5.0,0.0,174.0,34.8,1.0,1.0,1.8470454898020012,4
728,KE Rigg (AUS),8,12.0,0.0,401.0,33.41,1.0,1.0,1.8434062502611557,4
729,HDRL Thirimanne (SL),35,68.0,6.0,1404.0,22.64,1.0,6.0,1.8387280348476207,4
730,CL King (WI),9,16.0,3.0,418.0,32.15,1.0,2.0,1.8102804323625283,4
731,Soumya Sarkar (BDESH),15,28.0,0.0,818.0,29.21,1.0,4.0,1.8090162149713733,4
732,DG Brownlie (NZ),14,25.0,1.0,711.0,29.62,1.0,4.0,1.796852610585347,4
733,P Roy (INDIA),2,3.0,1.0,71.0,35.5,0.0,1.0,1.7919297264945806,4
734,Abdul Kadir (PAK),4,8.0,0.0,272.0,34.0,0.0,2.0,1.7731078811292722,4
735,GO Rabone (NZ),12,20.0,2.0,562.0,31.22,1.0,2.0,1.7717185224193526,4
736,DR Flynn (NZ),24,45.0,5.0,1038.0,25.95,0.0,6.0,1.7542525684220431,4
737,A Turner (AUS),14,27.0,1.0,768.0,29.53,1.0,3.0,1.7416576059444298,4
738,DJ Gandhi (INDIA),4,7.0,1.0,204.0,34.0,0.0,2.0,1.7363706263271084,4
739,Junaid Siddique (BDESH),19,37.0,0.0,969.0,26.18,1.0,7.0,1.7280441521864005,4
740,W Bruce (AUS),14,26.0,2.0,702.0,29.25,0.0,5.0,1.7271394122515666,4
741,TG McIntosh (NZ),17,33.0,2.0,854.0,27.54,2.0,4.0,1.7264302794656272,4
742,GO Jones (ENG),34,53.0,4.0,1172.0,23.91,1.0,6.0,1.7178277514259392,4
743,Hashmatullah Shahidi (AFG),3,6.0,2.0,138.0,34.5,0.0,1.0,1.6956952508770113,4
744,Wasim Bari (PAK),81,112.0,26.0,1366.0,15.88,0.0,6.0,1.6937335311595725,4
745,NRD Compton (ENG),16,30.0,3.0,775.0,28.7,2.0,2.0,1.6904736353034229,4
746,DD Ebrahim (ZIM),29,55.0,1.0,1225.0,22.68,0.0,10.0,1.6904135785413887,4
747,Wazir Mohammad (PAK),20,33.0,4.0,801.0,27.62,2.0,3.0,1.6793690644790642,4
748,KD Karthik (INDIA),26,42.0,1.0,1025.0,25.0,1.0,7.0,1.6723514294226516,4
749,PL Symcox (SA),20,27.0,1.0,741.0,28.5,1.0,4.0,1.6707154551281032,4
750,R Kilner (ENG),9,8.0,1.0,233.0,33.28,0.0,2.0,1.6694422810231107,4
751,MLC Foster (WI),14,24.0,5.0,580.0,30.52,1.0,1.0,1.6684452027657881,4
752,AF Giles (ENG),54,81.0,13.0,1421.0,20.89,0.0,4.0,1.6613993526584405,4
753,TG Southee (NZ),71,104.0,10.0,1662.0,17.68,0.0,5.0,1.6497848136405224,4
754,Tanvir Ahmed (PAK),5,7.0,2.0,170.0,34.0,0.0,1.0,1.6458649296885075,4
755,Zulfiqar Ahmed (PAK),9,10.0,4.0,200.0,33.33,0.0,1.0,1.642847582907061,4
756,S Amarnath (INDIA),10,18.0,0.0,550.0,30.55,1.0,3.0,1.6413222729014636,4
757,AM Blignaut (ZIM),19,36.0,3.0,886.0,26.84,0.0,6.0,1.6403945743832196,4
758,Naeem Islam (BDESH),8,15.0,2.0,416.0,32.0,1.0,1.0,1.6388053808540821,4
759,DJ Malan (ENG),15,26.0,0.0,724.0,27.84,1.0,6.0,1.6385488135094606,4
760,C White (ENG),30,50.0,7.0,1052.0,24.46,1.0,5.0,1.6366104411647169,4
761,TAM Siriwardana (SL),5,9.0,0.0,298.0,33.11,0.0,2.0,1.6293432772089242,4
762,PA Strang (ZIM),24,41.0,10.0,839.0,27.06,1.0,2.0,1.627125870099481,4
763,KR Rickards (WI),2,3.0,0.0,104.0,34.66,0.0,1.0,1.6214257417846873,4
764,SK Raina (INDIA),18,31.0,2.0,768.0,26.48,1.0,7.0,1.6152943445899708,4
765,JN Gillespie (AUS),71,93.0,28.0,1218.0,18.73,1.0,2.0,1.6147556161181431,4
766,Lord Tennyson (ENG),9,12.0,1.0,345.0,31.36,0.0,4.0,1.5920422759547947,4
767,Bilawal Bhatti (PAK),2,3.0,1.0,70.0,35.0,0.0,0.0,1.5907325315683887,4
768,SM Ervine (ZIM),5,8.0,0.0,261.0,32.62,0.0,3.0,1.5905724199272093,4
769,LC Braund (ENG),23,41.0,3.0,987.0,25.97,3.0,2.0,1.5885299736437934,4
770,PG Fulton (NZ),23,39.0,1.0,967.0,25.44,2.0,5.0,1.5801710646910465,4
771,SO Hetmyer (WI),16,30.0,0.0,838.0,27.93,0.0,5.0,1.5741386115811,4
772,WW Read (ENG),18,27.0,1.0,720.0,27.69,1.0,5.0,1.568794722163649,4
773,Basit Ali (PAK),19,33.0,1.0,858.0,26.81,1.0,5.0,1.5604270410210885,4
774,LE Favell (AUS),19,31.0,3.0,757.0,27.03,1.0,5.0,1.554606020721363,4
775,S Madan Lal (INDIA),39,62.0,16.0,1042.0,22.65,0.0,5.0,1.551548504668963,4
776,G Giffen (AUS),31,53.0,0.0,1238.0,23.35,1.0,6.0,1.5383504862962172,4
777,TW Jarvis (NZ),13,22.0,1.0,625.0,29.76,1.0,2.0,1.5277403433987629,4
778,EAC Hunte (WI),3,6.0,1.0,166.0,33.2,0.0,2.0,1.5254151266708833,4
779,AV Mankad (INDIA),22,42.0,3.0,991.0,25.41,0.0,6.0,1.5178995293397235,4
780,RJ Christiani (WI),22,37.0,3.0,896.0,26.35,1.0,4.0,1.5100601493011987,4
781,TMK Mawoyo (ZIM),11,22.0,1.0,615.0,29.28,1.0,3.0,1.5006446873088513,4
782,WA Hadlee (NZ),11,19.0,1.0,543.0,30.16,1.0,2.0,1.5003600145018874,4
783,Asif Mujtaba (PAK),25,41.0,3.0,928.0,24.42,0.0,8.0,1.487653156139638,4
784,M Watkinson (ENG),4,6.0,1.0,167.0,33.4,0.0,1.0,1.4792362393755072,4
785,AJ Richardson (AUS),9,13.0,0.0,403.0,31.0,1.0,2.0,1.470009074932398,4
786,DB Carr (ENG),2,4.0,0.0,135.0,33.75,0.0,1.0,1.466765247705872,4
787,SM Curran (ENG),14,25.0,4.0,610.0,29.04,0.0,3.0,1.4553103300425503,4
788,AC Bannerman (AUS),28,50.0,2.0,1108.0,23.08,0.0,8.0,1.4494340905640009,4
789,GS Camacho (WI),11,22.0,0.0,640.0,29.09,0.0,4.0,1.4390079685396173,4
790,W Watson (ENG),23,37.0,3.0,879.0,25.85,2.0,3.0,1.4259361907053403,4
791,TR Ambrose (ENG),11,16.0,1.0,447.0,29.8,1.0,3.0,1.425824435927386,4
792,TJ Friend (ZIM),13,19.0,4.0,447.0,29.8,0.0,3.0,1.4229807405450245,4
793,G Ulyett (ENG),25,39.0,0.0,949.0,24.33,1.0,7.0,1.4198993381382938,4
794,SC Williams (WI),31,52.0,3.0,1183.0,24.14,1.0,3.0,1.4169507017654233,4
795,M van Jaarsveld (SA),9,15.0,2.0,397.0,30.53,0.0,3.0,1.4131908451642878,4
796,SB Bangar (INDIA),12,18.0,2.0,470.0,29.37,1.0,3.0,1.4060874627058952,4
797,TM Dowlin (WI),6,11.0,0.0,343.0,31.18,0.0,3.0,1.3944058436366829,4
798,DJG Sammy (WI),38,63.0,2.0,1323.0,21.68,1.0,5.0,1.3834094922730489,4
799,CM Spearman (NZ),19,37.0,2.0,922.0,26.34,1.0,3.0,1.3775958679475024,4
800,HR Lance (SA),13,22.0,1.0,591.0,28.14,0.0,5.0,1.3495792384434728,4
801,J Hardstaff snr (ENG),5,10.0,0.0,311.0,31.1,0.0,3.0,1.3351437842098945,4
802,AC Agar (AUS),4,7.0,1.0,195.0,32.5,0.0,1.0,1.3247021953961684,4
803,CB Lambert (WI),5,9.0,0.0,284.0,31.55,1.0,1.0,1.3194926344014797,4
804,W Bates (ENG),15,26.0,2.0,656.0,27.33,0.0,5.0,1.3133554804051981,4
805,WM Darling (AUS),14,27.0,1.0,697.0,26.8,0.0,6.0,1.3118121515020404,4
806,BR Knight (ENG),29,38.0,7.0,812.0,26.19,2.0,0.0,1.308216007231467,4
807,D Mohammed (WI),5,8.0,1.0,225.0,32.14,0.0,1.0,1.292333196252319,4
808,GL Weir (NZ),11,16.0,2.0,416.0,29.71,0.0,3.0,1.289304190142462,4
809,MS Nichols (ENG),14,19.0,7.0,355.0,29.58,0.0,2.0,1.2884888611656393,4
810,Fakhar Zaman (PAK),3,6.0,0.0,192.0,32.0,0.0,2.0,1.2764952500792974,4
811,JR Ratnayeke (SL),22,38.0,6.0,807.0,25.21,0.0,5.0,1.2692972326493357,4
812,AM Bacher (SA),19,33.0,1.0,833.0,26.03,0.0,5.0,1.2668608349698152,4
813,CB van Ryneveld (SA),19,33.0,6.0,724.0,26.81,0.0,3.0,1.2573337595086873,4
814,AJ Hall (SA),21,33.0,4.0,760.0,26.2,1.0,3.0,1.254113817196352,4
815,RWV Robins (ENG),19,27.0,4.0,612.0,26.6,1.0,4.0,1.2453865392667713,4
816,Shafqat Rana (PAK),5,7.0,0.0,221.0,31.57,0.0,2.0,1.2391113525385191,4
817,CC Lewis (ENG),32,51.0,3.0,1105.0,23.02,1.0,4.0,1.2324868086333887,4
818,JH Sinclair (SA),25,47.0,1.0,1069.0,23.23,3.0,3.0,1.231723816310807,4
819,JW Hearne (ENG),24,36.0,5.0,806.0,26.0,1.0,2.0,1.230770442065299,4
820,GB Hole (AUS),18,33.0,2.0,789.0,25.45,0.0,6.0,1.2266146487432716,4
821,J Arun Lal (INDIA),16,29.0,1.0,729.0,26.03,0.0,6.0,1.2188233062219809,4
822,WW Wade (SA),11,19.0,1.0,511.0,28.38,1.0,3.0,1.2122025475171199,4
823,IC Davis (AUS),15,27.0,1.0,692.0,26.61,1.0,4.0,1.2011604491240035,4
824,CA Walsh (WI),132,185.0,61.0,936.0,7.54,0.0,0.0,1.1970158822498183,4
825,H Gimblett (ENG),3,5.0,1.0,129.0,32.25,0.0,1.0,1.1964142273545022,4
826,Khalid Ibadulla (PAK),4,8.0,0.0,253.0,31.62,1.0,0.0,1.193784346038005,4
827,KJ Funston (SA),18,33.0,1.0,824.0,25.75,0.0,5.0,1.1935862915845283,4
828,JJ Lyons (AUS),14,27.0,0.0,731.0,27.07,1.0,3.0,1.1935538295097916,4
829,CL Smith (ENG),8,14.0,1.0,392.0,30.15,0.0,2.0,1.1925623495623268,4
830,CM Francois (SA),5,9.0,1.0,252.0,31.5,0.0,1.0,1.190543411373644,4
831,SD Robson (ENG),7,11.0,0.0,336.0,30.54,1.0,1.0,1.1900697537632996,4
832,BS Sandhu (INDIA),8,11.0,4.0,214.0,30.57,0.0,2.0,1.1852900164789046,4
833,TK Curran (ENG),2,3.0,1.0,66.0,33.0,0.0,0.0,1.1774975748598162,4
834,S Shivnarine (WI),8,14.0,1.0,379.0,29.15,0.0,4.0,1.1746565603469596,4
835,Khaled Mashud (BDESH),44,84.0,10.0,1409.0,19.04,1.0,3.0,1.172463791031043,4
836,L Amarnath (INDIA),24,40.0,4.0,878.0,24.38,1.0,4.0,1.1700585649565194,4
837,CEL Ambrose (WI),98,145.0,29.0,1439.0,12.4,0.0,1.0,1.1695768638946742,4
838,MD Stoneman (ENG),11,20.0,1.0,526.0,27.68,0.0,5.0,1.1688129589069116,4
839,DB Close (ENG),22,37.0,2.0,887.0,25.34,0.0,4.0,1.1603240429375783,4
840,BA Davis (WI),4,8.0,0.0,245.0,30.62,0.0,3.0,1.1596292508999444,4
841,N Deonarine (WI),18,30.0,2.0,725.0,25.89,0.0,5.0,1.1411218467831061,4
842,AG Kripal Singh (INDIA),14,20.0,5.0,422.0,28.13,1.0,2.0,1.1249803332119024,4
843,DN Patel (NZ),37,66.0,8.0,1200.0,20.68,0.0,5.0,1.1238888478679945,4
844,JE Cheetham (SA),24,43.0,6.0,883.0,23.86,0.0,5.0,1.1223202697996086,4
845,DA Marillier (ZIM),5,7.0,1.0,186.0,31.0,0.0,2.0,1.118811372981098,4
846,WER Somerville (NZ),3,4.0,2.0,65.0,32.5,0.0,0.0,1.1156909116879632,4
847,PM Walker (ENG),3,4.0,0.0,128.0,32.0,0.0,1.0,1.1129373323075393,4
848,DJ Nash (NZ),32,45.0,14.0,729.0,23.51,0.0,4.0,1.111980655446231,4
849,AD Hales (ENG),11,21.0,0.0,573.0,27.28,0.0,5.0,1.1099289049441405,4
850,GJ Rennie (ZIM),23,46.0,1.0,1023.0,22.73,0.0,7.0,1.1067352876989158,4
851,SFAF Bacchus (WI),19,30.0,0.0,782.0,26.06,1.0,3.0,1.1057721038587396,4
852,CC Depeiaza (WI),5,8.0,2.0,187.0,31.16,1.0,0.0,1.105380622588051,4
853,DD Taylor (NZ),3,5.0,0.0,159.0,31.8,0.0,1.0,1.1040631918829906,4
854,D Smith (ENG),2,4.0,0.0,128.0,32.0,0.0,1.0,1.1029366352897685,4
855,RW Chakabva (ZIM),14,28.0,2.0,678.0,26.07,1.0,4.0,1.102789267975111,4
856,DW Richardson (ENG),1,1.0,0.0,33.0,33.0,0.0,0.0,1.102518474901428,4
857,CB Wishart (ZIM),27,50.0,1.0,1098.0,22.4,1.0,5.0,1.0978479342700043,4
858,G Thomas (AUS),8,12.0,1.0,325.0,29.54,0.0,3.0,1.0976014000562488,4
859,RT Latham (NZ),4,7.0,0.0,219.0,31.28,1.0,0.0,1.0898518457030921,4
860,GJ Thompson (ENG),6,10.0,1.0,273.0,30.33,0.0,2.0,1.0839625886018036,4
861,AH Kardar (INDIA/PAK),26,42.0,3.0,927.0,23.76,0.0,5.0,1.0801078408133495,4
862,VJ Scott (NZ),10,17.0,1.0,458.0,28.62,0.0,3.0,1.0755282786483507,4
863,H Graham (AUS),6,10.0,0.0,301.0,30.1,2.0,0.0,1.0744217448532045,4
864,R Clarke (ENG),2,3.0,0.0,96.0,32.0,0.0,1.0,1.0701019042784141,4
865,G Brown (ENG),7,12.0,2.0,299.0,29.9,0.0,2.0,1.0661524942055434,4
866,RK Nunes (WI),4,8.0,0.0,245.0,30.62,0.0,2.0,1.0617407951508953,4
867,NWD Yardley (ENG),20,34.0,2.0,812.0,25.37,0.0,4.0,1.0614665944187132,4
868,IT Shillingford (WI),4,7.0,0.0,218.0,31.14,1.0,0.0,1.0604629478154366,4
869,HD Rutherford (NZ),16,29.0,1.0,755.0,26.96,1.0,1.0,1.0543894603403718,4
870,FR Brown (ENG),22,30.0,1.0,734.0,25.31,0.0,5.0,1.0485921715848576,4
871,SC Griffith (ENG),3,5.0,0.0,157.0,31.4,1.0,0.0,1.0401062196425952,4
872,TJE Andrews (AUS),16,23.0,1.0,592.0,26.9,0.0,4.0,1.0400037369012478,4
873,JED Sealy (WI),11,19.0,2.0,478.0,28.11,0.0,3.0,1.0374377952039644,4
874,MD Moxon (ENG),10,17.0,1.0,455.0,28.43,0.0,3.0,1.034588150253668,4
875,JH King (ENG),1,2.0,0.0,64.0,32.0,0.0,1.0,1.0272664762492891,4
