,Mat,Inn,NO,Runs,Avg,100,50
0,7.299052834208544,7.3864307244635015,4.698944017174212,9.74743100457122,2.298975148691064,11.639185194719259,8.42959382102849
1,6.018963615933892,6.3547967469165,4.058276613442217,8.114080053717274,2.16687765453485,9.292200667110041,7.646486175036097
2,5.938958039791727,6.182857750658666,5.8201119737052025,8.056915981902094,2.407801581700587,10.230994478153729,7.124414411041168
3,5.858952463649561,6.330234033165381,4.538777166241213,8.056273688960351,2.1983620313803724,8.118708403305432,7.7770041160348296
4,5.738944099436312,6.453047601920976,1.9761075513132356,7.532162648497581,1.7219897208481187,7.4146130450226675,6.9938964700424355
5,4.658868821517076,5.028410204356069,2.1362744022462343,7.485917556692043,2.5467435056058276,8.588105308827275,6.341306765048774
6,4.538860457303827,5.00384749060495,0.3744390419832496,7.198812611732659,2.2373752809498244,7.6493114977835885,5.819235001053845
7,5.858952463649561,6.182857750658666,7.26161363210219,7.143575418742711,2.134024391739522,6.710517686739903,8.168557939031027
8,5.258910642583317,5.495101765627331,1.815940700380237,7.1095338928303,2.029304616579415,7.6493114977835885,6.080270883051309
9,5.5389301590808975,5.814417044391879,6.4607793774371975,6.698466410114404,2.0785845107724064,6.006422328457137,7.7770041160348296
10,6.018963615933892,5.691603475636284,6.781113079303195,6.539820053503737,2.1128066595175397,7.1799145922617456,6.080270883051309
11,4.29884372887733,4.561718643084806,1.9761075513132356,6.022774235400148,2.116913317366955,7.6493114977835885,5.4276811780576475
12,4.01882421237975,4.537155929333687,2.4566081041122314,6.008001497740046,2.1805665140329027,7.6493114977835885,3.86146588607286
13,4.258840940806247,4.586281356835925,1.9761075513132356,5.483248164335533,1.8102828646105622,6.241120781218059,4.905609414062718
14,3.9788214243086673,4.340654219324734,1.4956069985142397,5.4723291843258925,1.920478183569891,6.006422328457137,4.514055591066522
15,4.01882421237975,4.586281356835925,0.3744390419832496,5.237892260589483,1.532399016800081,4.363533159130684,5.55819911905638
16,4.258840940806247,3.9476507993068286,2.7769418059782285,5.194216340550919,2.2161575487278413,5.06762851741345,5.166645296060183
17,4.098829788521916,4.217840650569139,2.937108656911227,5.192931754667431,2.0128779851817504,5.537025422935293,5.55819911905638
18,4.658868821517076,4.831908494347116,4.85911086810721,5.161459400521996,1.7644251852920838,3.6594378008479187,6.863378529043703
19,3.8588130600954185,3.9967762268090667,2.296441253179233,5.151182713454098,2.0854289405214326,4.832930064652528,5.55819911905638
20,3.8988158481665014,4.168715223066901,2.937108656911227,5.07282297456138,1.9786558364366174,6.241120781218059,3.078358240080466
21,3.418782391313507,3.8248372305512333,1.6557738494472383,5.061261701609996,2.0902200413457512,6.710517686739903,3.3393941220779304
22,3.45878517938459,3.7265863755467565,0.3744390419832496,5.036212276881996,1.9950824678342816,5.06762851741345,3.7309479450741274
23,4.138832576592999,3.7757118030489947,1.3354401475812412,5.006666801561791,2.055997892600618,5.302326970174372,5.4276811780576475
24,4.618866033445993,5.077535631858307,2.7769418059782285,4.957210245047534,1.3243283524296714,3.1900408953260753,5.4276811780576475
25,3.9788214243086673,4.316091505573615,2.296441253179233,4.808198282563022,1.6467009936088257,3.8941362536088406,4.644573532065254
26,3.45878517938459,3.7511490892978756,0.6947727438492468,4.7760836354758425,1.8540872150043328,5.06762851741345,4.122501768070324
27,3.6187963316689213,4.045901654311305,3.097275507844226,4.733050008379022,1.8842027059000497,4.832930064652528,5.036127355061451
28,3.0187545106026787,3.2353321005243747,2.7769418059782285,4.680381987156048,2.572752338652129,5.771723875696215,3.469912063076663
29,4.418852093090578,4.43890507432921,2.1362744022462343,4.678455108330817,1.4796969077325761,4.363533159130684,5.6887170600551125
