,Player,Mat,Inn,NO,Runs,Avg,100,50
340,RP Arnold (SL),44,69.0,4.0,1821.0,28.01,3.0,10.0
341,IDS Smith (NZ),63,88.0,17.0,1815.0,25.56,2.0,6.0
342,T Bavuma (SA),39,65.0,7.0,1812.0,31.24,1.0,13.0
343,MD Marshall (WI),81,107.0,11.0,1810.0,18.85,0.0,10.0
344,JP Crawley (ENG),37,61.0,9.0,1800.0,34.61,4.0,9.0
345,DS Lehmann (AUS),27,42.0,2.0,1798.0,44.95,5.0,10.0
346,Imrul Kayes (BDESH),39,76.0,2.0,1797.0,24.28,3.0,4.0
347,NT Paranavitana (SL),32,60.0,5.0,1792.0,32.58,2.0,11.0
348,MJ Horne (NZ),35,65.0,2.0,1788.0,28.38,4.0,5.0
349,JDP Oram (NZ),33,59.0,10.0,1780.0,36.32,5.0,6.0
350,BC Booth (AUS),29,48.0,6.0,1773.0,42.21,5.0,10.0
351,DS Smith (WI),43,76.0,2.0,1760.0,23.78,1.0,8.0
352,DM de Silva (SL),29,55.0,4.0,1758.0,34.47,6.0,5.0
353,CJ Tavare (ENG),31,56.0,2.0,1755.0,32.5,2.0,12.0
354,GA Faulkner (SA),25,47.0,4.0,1754.0,40.79,4.0,8.0
355,WU Tharanga (SL),31,58.0,3.0,1754.0,31.89,3.0,8.0
356,Javed Omar (BDESH),40,80.0,2.0,1720.0,22.05,1.0,8.0
357,HH Dippenaar (SA),38,62.0,5.0,1718.0,30.14,3.0,7.0
358,Shahid Afridi (PAK),27,48.0,1.0,1716.0,36.51,5.0,8.0
359,JE Emburey (ENG),64,96.0,20.0,1713.0,22.53,0.0,10.0
360,HM Nicholls (NZ),31,47.0,5.0,1711.0,40.73,5.0,9.0
361,Babar Azam (PAK),25,47.0,7.0,1707.0,42.67,4.0,13.0
362,VD Philander (SA),61,88.0,19.0,1700.0,24.63,0.0,8.0
363,HMRKB Herath (SL),93,144.0,28.0,1699.0,14.64,0.0,3.0
364,RL Chase (WI),32,58.0,4.0,1695.0,31.38,5.0,7.0
365,GM Ritchie (AUS),30,53.0,5.0,1690.0,35.2,3.0,7.0
366,KC Bland (SA),21,39.0,5.0,1669.0,49.08,3.0,9.0
367,MH Denness (ENG),28,45.0,3.0,1667.0,39.69,4.0,7.0
368,TG Southee (NZ),71,104.0,10.0,1662.0,17.68,0.0,5.0
369,BC Broad (ENG),25,44.0,2.0,1661.0,39.54,6.0,6.0
370,JT Tyldesley (ENG),31,55.0,1.0,1661.0,30.75,4.0,9.0
371,J Darling (AUS),34,60.0,2.0,1657.0,28.56,3.0,8.0
372,J Hardstaff jnr (ENG),23,38.0,3.0,1636.0,46.74,4.0,10.0
373,MS Sinclair (NZ),33,56.0,5.0,1635.0,32.05,3.0,4.0
374,WR Endean (SA),28,52.0,4.0,1630.0,33.95,3.0,8.0
375,RB McCosker (AUS),25,46.0,5.0,1622.0,39.56,4.0,9.0
376,SV Carlisle (ZIM),37,66.0,6.0,1615.0,26.91,2.0,8.0
377,NJ Contractor (INDIA),31,52.0,1.0,1611.0,31.58,1.0,11.0
378,Yashpal Sharma (INDIA),37,59.0,11.0,1606.0,33.45,2.0,9.0
379,JJ Crowe (NZ),39,65.0,4.0,1601.0,26.24,3.0,6.0
380,RT Robinson (ENG),29,49.0,5.0,1601.0,36.38,4.0,6.0
381,M Prabhakar (INDIA),39,58.0,9.0,1600.0,32.65,1.0,9.0
382,AP Sheahan (AUS),31,53.0,6.0,1594.0,33.91,2.0,7.0
383,WA Brown (AUS),22,35.0,1.0,1592.0,46.82,4.0,9.0
384,SM Patil (INDIA),29,47.0,4.0,1588.0,36.93,4.0,7.0
385,SB Styris (NZ),29,48.0,4.0,1586.0,36.04,5.0,6.0
386,RH Catterall (SA),24,43.0,2.0,1555.0,37.92,3.0,11.0
387,T Taibu (ZIM),28,54.0,3.0,1546.0,30.31,1.0,12.0
388,E Paynter (ENG),20,31.0,5.0,1540.0,59.23,4.0,7.0
389,PJ Hughes (AUS),26,49.0,2.0,1535.0,32.65,3.0,7.0
390,BF Hastings (NZ),31,56.0,6.0,1510.0,30.2,4.0,7.0
391,KD Mackay (AUS),37,52.0,7.0,1507.0,33.48,0.0,13.0
392,RR Lindwall (AUS),61,84.0,13.0,1502.0,21.15,2.0,5.0
393,Qasim Umar (PAK),26,43.0,2.0,1502.0,36.63,3.0,5.0
394,GS Ballance (ENG),23,42.0,2.0,1498.0,37.45,4.0,7.0
395,SD Hope (WI),31,58.0,3.0,1498.0,27.23,2.0,5.0
396,JM Parker (NZ),36,63.0,2.0,1498.0,24.55,3.0,5.0
397,RW Barber (ENG),28,45.0,3.0,1495.0,35.59,1.0,9.0
398,Intikhab Alam (PAK),47,77.0,10.0,1493.0,22.28,1.0,8.0
399,MA Starc (AUS),56,84.0,17.0,1493.0,22.28,0.0,10.0
400,Yasir Hameed (PAK),25,49.0,3.0,1491.0,32.41,2.0,8.0
401,WB Phillips (AUS),27,48.0,2.0,1485.0,32.28,2.0,7.0
402,AC Voges (AUS),20,31.0,7.0,1485.0,61.87,5.0,4.0
403,DL Houghton (ZIM),22,36.0,2.0,1464.0,43.05,4.0,4.0
404,A Symonds (AUS),26,41.0,5.0,1462.0,40.61,2.0,10.0
405,B Lee (AUS),76,90.0,18.0,1451.0,20.15,0.0,5.0
406,FJ Titmus (ENG),53,76.0,11.0,1449.0,22.29,0.0,10.0
407,SO Dowrich (WI),31,56.0,8.0,1444.0,30.08,3.0,8.0
408,JM Brearley (ENG),39,66.0,3.0,1442.0,22.88,0.0,9.0
409,NR Mongia (INDIA),44,68.0,8.0,1442.0,24.03,1.0,6.0
410,CEL Ambrose (WI),98,145.0,29.0,1439.0,12.4,0.0,1.0
411,WAS Oldfield (AUS),54,80.0,17.0,1427.0,22.65,0.0,4.0
412,AK Markram (SA),20,37.0,0.0,1424.0,38.48,4.0,6.0
413,C Kelleway (AUS),26,42.0,4.0,1422.0,37.42,3.0,6.0
414,AF Giles (ENG),54,81.0,13.0,1421.0,20.89,0.0,4.0
415,MS Wade (AUS),31,54.0,9.0,1418.0,31.51,4.0,5.0
416,Hon.FS Jackson (ENG),20,33.0,4.0,1415.0,48.79,5.0,6.0
417,MW Goodwin (ZIM),19,37.0,4.0,1414.0,42.84,3.0,8.0
418,RG Nadkarni (INDIA),41,67.0,12.0,1414.0,25.7,1.0,7.0
419,Khaled Mashud (BDESH),44,84.0,10.0,1409.0,19.04,1.0,3.0
420,HDRL Thirimanne (SL),35,68.0,6.0,1404.0,22.64,1.0,6.0
421,RT Simpson (ENG),27,45.0,3.0,1401.0,33.35,4.0,6.0
422,J Ryder (AUS),20,32.0,5.0,1394.0,51.62,3.0,9.0
423,KLT Arthurton (WI),33,50.0,5.0,1382.0,30.71,2.0,8.0
424,Rashid Latif (PAK),37,57.0,9.0,1381.0,28.77,1.0,7.0
425,GP Swann (ENG),60,76.0,14.0,1370.0,22.09,0.0,5.0
426,S Ramesh (INDIA),19,37.0,1.0,1367.0,37.97,2.0,8.0
427,Wasim Bari (PAK),81,112.0,26.0,1366.0,15.88,0.0,6.0
428,KG Viljoen (SA),27,50.0,2.0,1365.0,28.43,2.0,9.0
429,J Blackwood (WI),28,49.0,4.0,1362.0,30.26,1.0,10.0
430,J Dyson (AUS),30,58.0,7.0,1359.0,26.64,2.0,5.0
431,DJ Richardson (SA),42,64.0,8.0,1359.0,24.26,1.0,8.0
432,HL Collins (AUS),19,31.0,1.0,1352.0,45.06,4.0,6.0
433,Javed Burki (PAK),25,48.0,4.0,1341.0,30.47,3.0,4.0
434,BM Laird (AUS),21,40.0,2.0,1341.0,35.28,0.0,11.0
435,L Vincent (NZ),23,40.0,1.0,1332.0,34.15,3.0,9.0
436,OG Smith (WI),26,42.0,0.0,1331.0,31.69,4.0,6.0
437,LRD Mendis (SL),24,43.0,1.0,1329.0,31.64,4.0,8.0
438,AK Davidson (AUS),44,61.0,7.0,1328.0,24.59,0.0,5.0
439,SS Das (INDIA),23,40.0,2.0,1326.0,34.89,2.0,9.0
440,JS Solomon (WI),27,46.0,7.0,1326.0,34.0,1.0,9.0
441,DJG Sammy (WI),38,63.0,2.0,1323.0,21.68,1.0,5.0
442,JA Burns (AUS),20,34.0,0.0,1321.0,38.85,4.0,6.0
443,RA Duff (AUS),22,40.0,3.0,1317.0,35.59,2.0,6.0
444,N Boje (SA),43,62.0,10.0,1312.0,25.23,0.0,4.0
445,G Fowler (ENG),21,37.0,0.0,1307.0,35.32,3.0,8.0
446,DW Hookes (AUS),23,41.0,3.0,1306.0,34.36,1.0,8.0
447,CA Davis (WI),15,29.0,5.0,1301.0,54.2,4.0,4.0
448,BW Luckhurst (ENG),21,41.0,5.0,1298.0,36.05,4.0,5.0
449,DR Jardine (ENG),22,33.0,6.0,1296.0,48.0,1.0,10.0
450,JF Reid (NZ),19,31.0,3.0,1296.0,46.28,6.0,2.0
451,TD Paine (AUS),30,49.0,8.0,1295.0,31.58,0.0,7.0
452,RL Dias (SL),20,36.0,1.0,1285.0,36.71,3.0,8.0
453,KS More (INDIA),49,64.0,14.0,1285.0,25.7,0.0,7.0
454,JW Burke (AUS),24,44.0,7.0,1280.0,34.59,3.0,5.0
455,A Shrewsbury snr (ENG),23,40.0,4.0,1277.0,35.47,3.0,4.0
456,UC Hathurusingha (SL),26,44.0,1.0,1274.0,29.62,0.0,8.0
457,JD Ryder (NZ),18,33.0,2.0,1269.0,40.93,3.0,6.0
458,Shahriar Nafees (BDESH),24,48.0,0.0,1267.0,26.39,1.0,7.0
459,V Pollard (NZ),32,59.0,7.0,1266.0,24.34,2.0,7.0
460,RF Surti (INDIA),26,48.0,4.0,1263.0,28.7,0.0,9.0
461,M Muralitharan (ICC/SL),133,164.0,56.0,1261.0,11.67,0.0,1.0
462,MR Marsh (AUS),32,55.0,5.0,1260.0,25.2,2.0,3.0
463,DW Steyn (SA),93,119.0,27.0,1251.0,13.59,0.0,2.0
464,GE Gomez (WI),29,46.0,5.0,1243.0,30.31,1.0,8.0
465,HB Cameron (SA),26,45.0,4.0,1239.0,30.21,0.0,10.0
466,G Giffen (AUS),31,53.0,0.0,1238.0,23.35,1.0,6.0
467,WP Saha (INDIA),37,50.0,9.0,1238.0,30.19,3.0,5.0
468,Z Khan (INDIA),92,127.0,24.0,1231.0,11.95,0.0,3.0
469,DG Phadkar (INDIA),31,45.0,7.0,1229.0,32.34,2.0,8.0
470,DD Ebrahim (ZIM),29,55.0,1.0,1225.0,22.68,0.0,10.0
471,CB Fry (ENG),26,41.0,3.0,1223.0,32.18,2.0,7.0
472,S Wettimuny (SL),23,43.0,1.0,1221.0,29.07,2.0,6.0
473,JN Gillespie (AUS),71,93.0,28.0,1218.0,18.73,1.0,2.0
474,Haroon Rasheed (PAK),23,36.0,1.0,1217.0,34.77,3.0,5.0
475,G Miller (ENG),34,51.0,4.0,1213.0,25.8,0.0,7.0
476,VS Ransford (AUS),20,38.0,6.0,1211.0,37.84,1.0,7.0
477,MDK Perera (SL),41,73.0,8.0,1208.0,18.58,0.0,6.0
478,SA Durani (INDIA),29,50.0,2.0,1202.0,25.04,1.0,7.0
479,DN Patel (NZ),37,66.0,8.0,1200.0,20.68,0.0,5.0
480,MW Tate (ENG),39,52.0,5.0,1198.0,25.48,1.0,5.0
481,AF Kippax (AUS),22,34.0,1.0,1192.0,36.12,2.0,8.0
482,JHW Fingleton (AUS),18,29.0,1.0,1189.0,42.46,5.0,3.0
483,M Labuschagne (AUS),13,21.0,0.0,1185.0,56.42,3.0,7.0
484,CP Mead (ENG),17,26.0,2.0,1185.0,49.37,4.0,3.0
485,P Willey (ENG),26,50.0,6.0,1184.0,26.9,2.0,5.0
486,SC Williams (WI),31,52.0,3.0,1183.0,24.14,1.0,3.0
487,JM Anderson (ENG),150,211.0,89.0,1181.0,9.68,0.0,1.0
488,GS Ramchand (INDIA),33,53.0,5.0,1180.0,24.58,2.0,5.0
489,MTG Elliott (AUS),21,36.0,1.0,1172.0,33.48,3.0,4.0
490,GO Jones (ENG),34,53.0,4.0,1172.0,23.91,1.0,6.0
491,Rev.DS Sheppard (ENG),22,33.0,2.0,1172.0,37.8,3.0,6.0
492,R Edwards (AUS),20,32.0,3.0,1171.0,40.37,2.0,9.0
493,MJ North (AUS),21,35.0,2.0,1171.0,35.48,5.0,4.0
494,PM Siddle (AUS),67,94.0,15.0,1164.0,14.73,0.0,2.0
495,RW Taylor (ENG),57,83.0,12.0,1156.0,16.28,0.0,3.0
496,BW Sinclair (NZ),21,40.0,1.0,1148.0,29.43,3.0,3.0
497,JM Gregory (AUS),24,34.0,3.0,1146.0,36.96,2.0,7.0
498,CR Woakes (ENG),32,53.0,11.0,1145.0,27.26,1.0,4.0
499,MG Vandort (SL),20,33.0,2.0,1144.0,36.9,4.0,4.0
500,Rajin Saleh (BDESH),24,46.0,2.0,1141.0,25.93,0.0,7.0
501,DT Lindsay (SA),19,31.0,1.0,1130.0,37.66,3.0,5.0
502,MC Carew (WI),19,36.0,3.0,1127.0,34.15,1.0,5.0
503,Faisal Iqbal (PAK),26,44.0,2.0,1124.0,26.76,1.0,8.0
504,G Gunn (ENG),15,29.0,1.0,1120.0,40.0,2.0,7.0
505,AC Bannerman (AUS),28,50.0,2.0,1108.0,23.08,0.0,8.0
506,CC Lewis (ENG),32,51.0,3.0,1105.0,23.02,1.0,4.0
507,IK Pathan (INDIA),29,40.0,5.0,1105.0,31.57,1.0,6.0
508,BP Nash (WI),21,33.0,0.0,1103.0,33.42,2.0,8.0
509,JA Raval (NZ),23,37.0,1.0,1100.0,30.55,1.0,7.0
510,CJ Barnett (ENG),20,35.0,4.0,1098.0,35.41,2.0,5.0
511,WG Grace (ENG),22,36.0,2.0,1098.0,32.29,2.0,5.0
512,CB Wishart (ZIM),27,50.0,1.0,1098.0,22.4,1.0,5.0
513,Alimuddin (PAK),25,45.0,2.0,1091.0,25.37,2.0,7.0
514,Shan Masood (PAK),19,37.0,0.0,1089.0,29.43,2.0,6.0
515,VG Kambli (INDIA),17,21.0,1.0,1084.0,54.2,4.0,3.0
516,TM Head (AUS),16,27.0,2.0,1081.0,43.24,2.0,7.0
517,AMJ Hilditch (AUS),18,34.0,0.0,1073.0,31.55,2.0,6.0
518,SG Barnes (AUS),13,19.0,2.0,1072.0,63.05,3.0,5.0
519,Waqar Hasan (PAK),21,35.0,1.0,1071.0,31.5,1.0,6.0
520,JH Sinclair (SA),25,47.0,1.0,1069.0,23.23,3.0,3.0
521,ED Solkar (INDIA),27,48.0,6.0,1068.0,25.42,1.0,6.0
522,JKC Holt (WI),17,31.0,2.0,1066.0,36.75,2.0,5.0
523,Mohammad Rafique (BDESH),33,63.0,6.0,1059.0,18.57,1.0,4.0
524,RA Woolmer (ENG),19,34.0,2.0,1059.0,33.09,3.0,2.0
525,Saleem Yousuf (PAK),32,44.0,5.0,1055.0,27.05,0.0,5.0
526,C White (ENG),30,50.0,7.0,1052.0,24.46,1.0,5.0
527,Sarfraz Nawaz (PAK),55,72.0,13.0,1045.0,17.71,0.0,4.0
528,C de Grandhomme (NZ),21,32.0,4.0,1044.0,37.28,1.0,7.0
529,Nasir Hossain (BDESH),19,32.0,2.0,1044.0,34.8,1.0,6.0
530,S Madan Lal (INDIA),39,62.0,16.0,1042.0,22.65,0.0,5.0
531,DR Flynn (NZ),24,45.0,5.0,1038.0,25.95,0.0,6.0
532,MG Hughes (AUS),53,70.0,8.0,1032.0,16.64,0.0,2.0
533,Abdul Qadir (PAK),67,77.0,11.0,1029.0,15.59,0.0,3.0
534,RS Madugalle (SL),21,39.0,4.0,1029.0,29.4,1.0,7.0
535,KD Karthik (INDIA),26,42.0,1.0,1025.0,25.0,1.0,7.0
536,NM Lyon (AUS),95,122.0,38.0,1025.0,12.2,0.0,0.0
537,GJ Rennie (ZIM),23,46.0,1.0,1023.0,22.73,0.0,7.0
538,S Abid Ali (INDIA),29,53.0,3.0,1018.0,20.36,0.0,6.0
539,AF Rae (WI),15,24.0,2.0,1016.0,46.18,4.0,4.0
540,KJ Wadsworth (NZ),33,51.0,4.0,1010.0,21.48,0.0,5.0
541,Waqar Younis (PAK),87,120.0,21.0,1010.0,10.2,0.0,0.0
542,J Srinath (INDIA),67,92.0,21.0,1009.0,14.21,0.0,4.0
543,SJ Snooke (SA),26,46.0,1.0,1008.0,22.4,1.0,5.0
544,Umar Akmal (PAK),16,30.0,2.0,1003.0,35.82,1.0,6.0
545,PV Simmons (WI),26,47.0,2.0,1002.0,22.26,1.0,4.0
546,JG Bracewell (NZ),41,60.0,11.0,1001.0,20.42,1.0,4.0
547,EJM Cowan (AUS),18,32.0,0.0,1001.0,31.28,1.0,6.0
548,IWG Johnson (AUS),45,66.0,12.0,1000.0,18.51,0.0,6.0
549,JM Taylor (AUS),20,28.0,0.0,997.0,35.6,1.0,8.0
550,AE Stoddart (ENG),16,30.0,2.0,996.0,35.57,2.0,3.0
551,KS Duleepsinhji (ENG),12,19.0,2.0,995.0,58.52,3.0,5.0
552,AV Mankad (INDIA),22,42.0,3.0,991.0,25.41,0.0,6.0
553,GE Tyldesley (ENG),14,20.0,2.0,990.0,55.0,3.0,6.0
554,KS Ranjitsinhji (ENG),15,26.0,4.0,989.0,44.95,2.0,6.0
555,LC Braund (ENG),23,41.0,3.0,987.0,25.97,3.0,2.0
556,KA Edwards (WI),17,32.0,1.0,986.0,31.8,2.0,8.0
557,R Subba Row (ENG),13,22.0,1.0,984.0,46.85,3.0,4.0
558,JW Zulch (SA),16,32.0,2.0,983.0,32.76,2.0,4.0
559,Ahmed Shehzad (PAK),13,25.0,1.0,982.0,40.91,3.0,4.0
560,BK Kunderan (INDIA),18,34.0,4.0,981.0,32.7,2.0,3.0
561,FS Trueman (ENG),67,85.0,14.0,981.0,13.81,0.0,0.0
562,RJ Burns (ENG),15,29.0,0.0,979.0,33.75,2.0,6.0
563,B Yardley (AUS),33,54.0,4.0,978.0,19.56,0.0,4.0
564,IJ Siedle (SA),18,34.0,0.0,977.0,28.73,1.0,5.0
565,BP Patel (INDIA),21,38.0,5.0,972.0,29.45,1.0,5.0
566,Junaid Siddique (BDESH),19,37.0,0.0,969.0,26.18,1.0,7.0
567,PG Fulton (NZ),23,39.0,1.0,967.0,25.44,2.0,5.0
568,JWHT Douglas (ENG),23,35.0,2.0,962.0,29.15,1.0,6.0
569,FCM Alexander (WI),25,38.0,6.0,961.0,30.03,1.0,7.0
570,SA Thomson (NZ),19,35.0,4.0,958.0,30.9,1.0,5.0
571,PS McDonnell (AUS),19,34.0,1.0,955.0,28.93,3.0,2.0
572,PR Reiffel (AUS),35,50.0,14.0,955.0,26.52,0.0,6.0
573,CA Roach (WI),16,32.0,1.0,952.0,30.7,2.0,6.0
574,G Ulyett (ENG),25,39.0,0.0,949.0,24.33,1.0,7.0
575,GD McKenzie (AUS),60,89.0,12.0,945.0,12.27,0.0,2.0
576,M Morkel (SA),86,104.0,23.0,944.0,11.65,0.0,0.0
577,CR Ervine (ZIM),15,30.0,2.0,941.0,33.6,2.0,3.0
578,CJ McDermott (AUS),71,90.0,13.0,940.0,12.2,0.0,0.0
579,DL Underwood (ENG),86,116.0,35.0,937.0,11.56,0.0,0.0
580,CA Walsh (WI),132,185.0,61.0,936.0,7.54,0.0,0.0
581,PAJ DeFreitas (ENG),44,68.0,5.0,934.0,14.82,0.0,4.0
582,PSP Handscomb (AUS),16,29.0,5.0,934.0,38.91,2.0,4.0
583,PA Patel (INDIA),25,38.0,8.0,934.0,31.13,0.0,6.0
584,MDKJ Perera (SL),18,33.0,3.0,934.0,31.13,2.0,4.0
585,Asif Mujtaba (PAK),25,41.0,3.0,928.0,24.42,0.0,8.0
586,BL Cairns (NZ),43,65.0,8.0,928.0,16.28,0.0,2.0
587,AH Kardar (INDIA/PAK),26,42.0,3.0,927.0,23.76,0.0,5.0
588,Saqlain Mushtaq (PAK),49,78.0,14.0,927.0,14.48,1.0,2.0
589,APF Chapman (ENG),26,36.0,4.0,925.0,28.9,1.0,5.0
590,DS Atkinson (WI),22,35.0,6.0,922.0,31.79,1.0,5.0
591,CM Spearman (NZ),19,37.0,2.0,922.0,26.34,1.0,3.0
592,GHS Trott (AUS),24,42.0,0.0,921.0,21.92,1.0,4.0
593,CWJ Athey (ENG),23,41.0,1.0,919.0,22.97,1.0,4.0
594,DA Allen (ENG),39,51.0,15.0,918.0,25.5,0.0,5.0
595,JR Murray (WI),33,45.0,4.0,918.0,22.39,1.0,3.0
596,KD Ghavri (INDIA),39,57.0,14.0,913.0,21.23,0.0,2.0
597,MA Holding (WI),60,76.0,10.0,910.0,13.78,0.0,6.0
598,CAG Russell (ENG),10,18.0,2.0,910.0,56.87,5.0,2.0
599,WL Murdoch (AUS/ENG),19,34.0,5.0,908.0,31.31,2.0,1.0
600,DK Lillee (AUS),70,90.0,24.0,905.0,13.71,0.0,1.0
601,AFA Lilley (ENG),35,52.0,8.0,903.0,20.52,0.0,4.0
602,PA Jaques (AUS),11,19.0,0.0,902.0,47.47,3.0,6.0
603,Azhar Mahmood (PAK),21,34.0,4.0,900.0,30.0,3.0,1.0
604,BR Taylor (NZ),30,50.0,6.0,898.0,20.4,2.0,2.0
605,GJ Cosier (AUS),18,32.0,1.0,897.0,28.93,2.0,3.0
606,RJ Christiani (WI),22,37.0,3.0,896.0,26.35,1.0,4.0
607,GF Lawson (AUS),46,68.0,12.0,894.0,15.96,0.0,4.0
608,A Melville (SA),11,19.0,2.0,894.0,52.58,4.0,3.0
609,PM Toohey (AUS),15,29.0,1.0,893.0,31.89,1.0,7.0
610,SN McGregor (NZ),25,47.0,2.0,892.0,19.82,1.0,3.0
611,ATW Grout (AUS),51,67.0,8.0,890.0,15.08,0.0,3.0
612,KAJ Roach (WI),56,90.0,17.0,890.0,12.19,0.0,0.0
613,DB Close (ENG),22,37.0,2.0,887.0,25.34,0.0,4.0
614,AM Blignaut (ZIM),19,36.0,3.0,886.0,26.84,0.0,6.0
615,JE Cheetham (SA),24,43.0,6.0,883.0,23.86,0.0,5.0
616,JDB Robertson (ENG),11,21.0,2.0,881.0,46.36,2.0,6.0
617,A Sandham (ENG),14,23.0,0.0,879.0,38.21,2.0,3.0
618,W Watson (ENG),23,37.0,3.0,879.0,25.85,2.0,3.0
619,L Amarnath (INDIA),24,40.0,4.0,878.0,24.38,1.0,4.0
620,PH Edmonds (ENG),51,65.0,15.0,875.0,17.5,0.0,2.0
621,H Carter (AUS),28,47.0,9.0,873.0,22.97,0.0,4.0
622,HR Adhikari (INDIA),21,36.0,8.0,872.0,31.14,1.0,4.0
623,MA Agarwal (INDIA),9,13.0,0.0,872.0,67.07,3.0,3.0
624,GC White (SA),17,31.0,2.0,872.0,30.06,2.0,4.0
625,HDPK Dharmasena (SL),31,51.0,7.0,868.0,19.72,0.0,3.0
626,BD Julien (WI),24,34.0,6.0,866.0,30.92,2.0,3.0
627,DG Cork (ENG),37,56.0,8.0,864.0,18.0,0.0,3.0
628,HJ Tayfield (SA),37,60.0,9.0,862.0,16.9,0.0,2.0
629,AR Caddick (ENG),62,95.0,12.0,861.0,10.37,0.0,0.0
630,GRJ Roope (ENG),21,32.0,4.0,860.0,30.71,0.0,7.0
631,JDC Goddard (WI),27,39.0,11.0,859.0,30.67,0.0,4.0
632,VM Merchant (INDIA),10,18.0,0.0,859.0,47.72,3.0,3.0
633,Basit Ali (PAK),19,33.0,1.0,858.0,26.81,1.0,5.0
634,JE Taylor (WI),46,73.0,7.0,856.0,12.96,1.0,1.0
635,D Gough (ENG),58,86.0,18.0,855.0,12.57,0.0,2.0
636,TG McIntosh (NZ),17,33.0,2.0,854.0,27.54,2.0,4.0
637,H Trumble (AUS),32,57.0,14.0,851.0,19.79,0.0,4.0
638,CM Old (ENG),46,66.0,9.0,845.0,14.82,0.0,2.0
639,RGD Willis (ENG),90,128.0,55.0,840.0,11.5,0.0,0.0
640,PA Strang (ZIM),24,41.0,10.0,839.0,27.06,1.0,2.0
641,SO Hetmyer (WI),16,30.0,0.0,838.0,27.93,0.0,5.0
642,AM Bacher (SA),19,33.0,1.0,833.0,26.03,0.0,5.0
643,RMH Binny (INDIA),27,41.0,5.0,830.0,23.05,0.0,5.0
644,TJ Franklin (NZ),21,37.0,1.0,828.0,23.0,1.0,4.0
645,KJ Funston (SA),18,33.0,1.0,824.0,25.75,0.0,5.0
646,SM Warnapura (SL),14,24.0,1.0,821.0,35.69,2.0,7.0
647,AJ Pithey (SA),17,27.0,1.0,819.0,31.5,1.0,4.0
648,WW Hall (WI),48,66.0,14.0,818.0,15.73,0.0,2.0
649,Sikandar Raza (ZIM),12,24.0,0.0,818.0,34.08,1.0,6.0
650,Soumya Sarkar (BDESH),15,28.0,0.0,818.0,29.21,1.0,4.0
651,Khurram Manzoor (PAK),16,30.0,1.0,817.0,28.17,1.0,7.0
652,J Briggs (ENG),33,50.0,5.0,815.0,18.11,1.0,2.0
653,AR MacGibbon (NZ),26,46.0,5.0,814.0,19.85,0.0,3.0
654,TR Veivers (AUS),21,30.0,4.0,813.0,31.26,0.0,7.0
655,BR Knight (ENG),29,38.0,7.0,812.0,26.19,2.0,0.0
656,NWD Yardley (ENG),20,34.0,2.0,812.0,25.37,0.0,4.0
657,AJ Watkins (ENG),15,24.0,4.0,810.0,40.5,2.0,4.0
658,TR Gripper (ZIM),20,38.0,1.0,809.0,21.86,1.0,5.0
659,JEC Franklin (NZ),31,46.0,7.0,808.0,20.71,1.0,2.0
660,FA Iredale (AUS),14,23.0,1.0,807.0,36.68,2.0,4.0
661,JR Ratnayeke (SL),22,38.0,6.0,807.0,25.21,0.0,5.0
662,JW Hearne (ENG),24,36.0,5.0,806.0,26.0,1.0,2.0
663,RAS Lakmal (SL),59,93.0,23.0,804.0,11.48,0.0,0.0
664,Wazir Mohammad (PAK),20,33.0,4.0,801.0,27.62,2.0,3.0
665,JM Blackham (AUS),35,62.0,11.0,800.0,15.68,0.0,4.0
666,Mashrafe Mortaza (BDESH),36,67.0,5.0,797.0,12.85,0.0,3.0
667,GH Hirst (ENG),24,38.0,3.0,790.0,22.57,0.0,5.0
668,GB Hole (AUS),18,33.0,2.0,789.0,25.45,0.0,6.0
669,PJ Sharpe (ENG),12,21.0,4.0,786.0,46.23,1.0,4.0
670,MG Bevan (AUS),18,30.0,3.0,785.0,29.07,0.0,6.0
671,PR Downton (ENG),30,48.0,8.0,785.0,19.62,0.0,4.0
672,CF Walters (ENG),11,18.0,3.0,784.0,52.26,1.0,7.0
673,W Mathias (PAK),21,36.0,3.0,783.0,23.72,0.0,3.0
674,Mohammad Wasim (PAK),18,28.0,2.0,783.0,30.11,2.0,2.0
675,SFAF Bacchus (WI),19,30.0,0.0,782.0,26.06,1.0,3.0
676,KK Jennings (ENG),17,32.0,1.0,781.0,25.19,2.0,1.0
677,WK Lees (NZ),21,37.0,4.0,778.0,23.57,1.0,1.0
678,CZ Harris (NZ),23,42.0,4.0,777.0,20.44,0.0,5.0
679,NRD Compton (ENG),16,30.0,3.0,775.0,28.7,2.0,2.0
680,RWT Key (ENG),15,26.0,1.0,775.0,31.0,1.0,3.0
681,JM How (NZ),19,35.0,1.0,772.0,22.7,0.0,4.0
682,JA Snow (ENG),49,71.0,14.0,772.0,13.54,0.0,2.0
683,DAJ Holford (WI),24,39.0,5.0,768.0,22.58,1.0,3.0
684,SK Raina (INDIA),18,31.0,2.0,768.0,26.48,1.0,7.0
685,A Turner (AUS),14,27.0,1.0,768.0,29.53,1.0,3.0
686,AME Roberts (WI),47,62.0,11.0,762.0,14.94,0.0,3.0
687,AJ Hall (SA),21,33.0,4.0,760.0,26.2,1.0,3.0
688,Sami Aslam (PAK),13,25.0,1.0,758.0,31.58,0.0,7.0
689,LE Favell (AUS),19,31.0,3.0,757.0,27.03,1.0,5.0
