,Player,Mat,Inn,NO,Runs,Avg,100,50
78,AC Gilchrist (AUS),96,137.0,20.0,5570.0,47.6,17.0,26.0
79,MV Boucher (ICC/SA),147,206.0,24.0,5515.0,30.3,5.0,35.0
80,MS Atapattu (SL),90,156.0,15.0,5502.0,39.02,16.0,17.0
81,TM Dilshan (SL),87,145.0,11.0,5492.0,40.98,16.0,23.0
82,TT Samaraweera (SL),81,132.0,20.0,5462.0,48.76,14.0,30.0
83,MD Crowe (NZ),77,131.0,11.0,5444.0,45.36,17.0,18.0
84,JB Hobbs (ENG),61,102.0,7.0,5410.0,56.94,15.0,28.0
85,KD Walters (AUS),74,125.0,14.0,5357.0,48.26,15.0,33.0
86,IM Chappell (AUS),75,136.0,10.0,5345.0,42.42,14.0,26.0
87,JG Wright (NZ),82,148.0,7.0,5334.0,37.82,12.0,23.0
88,MJ Slater (AUS),74,131.0,7.0,5312.0,42.83,14.0,21.0
89,N Kapil Dev (INDIA),131,184.0,15.0,5248.0,31.05,8.0,27.0
90,WM Lawry (AUS),67,123.0,12.0,5234.0,47.15,13.0,27.0
91,Misbah-ul-Haq (PAK),75,132.0,20.0,5222.0,46.62,10.0,39.0
92,IT Botham (ENG),102,161.0,6.0,5200.0,33.54,14.0,22.0
93,JH Edrich (ENG),77,127.0,9.0,5138.0,43.54,12.0,24.0
94,A Ranatunga (SL),93,155.0,12.0,5105.0,35.69,4.0,38.0
95,Zaheer Abbas (PAK),78,124.0,11.0,5062.0,44.79,12.0,20.0
96,TW Graveney (ENG),79,123.0,13.0,4882.0,44.38,11.0,20.0
97,MS Dhoni (INDIA),90,144.0,16.0,4876.0,38.09,6.0,33.0
98,RB Simpson (AUS),62,111.0,7.0,4869.0,46.81,10.0,27.0
99,A Flower (ZIM),63,112.0,19.0,4794.0,51.54,12.0,27.0
100,IR Redpath (AUS),66,120.0,11.0,4737.0,43.45,8.0,31.0
101,NJ Astle (NZ),81,137.0,10.0,4702.0,37.02,11.0,24.0
102,AJ Lamb (ENG),79,139.0,10.0,4656.0,36.09,14.0,18.0
103,H Sutcliffe (ENG),54,84.0,9.0,4555.0,60.73,16.0,23.0
104,DJ Cullinan (SA),70,115.0,12.0,4554.0,44.21,14.0,20.0
105,HP Tillakaratne (SL),83,131.0,25.0,4545.0,42.87,11.0,20.0
106,PBH May (ENG),66,106.0,9.0,4537.0,46.77,13.0,22.0
107,DL Vettori (ICC/NZ),113,174.0,23.0,4531.0,30.0,6.0,23.0
108,Asad Shafiq (PAK),73,122.0,6.0,4528.0,39.03,12.0,26.0
109,ER Dexter (ENG),62,102.0,8.0,4502.0,47.89,9.0,27.0
110,ED Weekes (WI),48,81.0,5.0,4455.0,58.61,15.0,19.0
111,FDM Karunaratne (SL),64,124.0,4.0,4421.0,36.84,9.0,24.0
112,KJ Hughes (AUS),70,124.0,6.0,4415.0,37.41,9.0,22.0
113,MW Gatting (ENG),79,138.0,14.0,4409.0,35.55,10.0,21.0
114,DR Martyn (AUS),67,109.0,14.0,4406.0,46.37,13.0,23.0
115,AI Kallicharran (WI),66,109.0,10.0,4399.0,44.43,12.0,21.0
116,APE Knott (ENG),95,149.0,15.0,4389.0,32.75,5.0,30.0
117,M Amarnath (INDIA),69,113.0,10.0,4378.0,42.5,11.0,24.0
118,IA Healy (AUS),119,182.0,23.0,4356.0,27.39,4.0,22.0
119,RC Fredericks (WI),59,109.0,7.0,4334.0,42.49,8.0,26.0
120,Tamim Iqbal (BDESH),58,112.0,1.0,4327.0,38.98,9.0,27.0
121,MA Butcher (ENG),71,131.0,7.0,4288.0,34.58,8.0,23.0
122,PD Collingwood (ENG),68,115.0,10.0,4259.0,40.56,10.0,20.0
123,RA Smith (ENG),62,112.0,15.0,4236.0,43.67,9.0,28.0
124,Mushfiqur Rahim (BDESH),69,129.0,9.0,4210.0,35.08,6.0,21.0
125,SM Katich (AUS),56,99.0,6.0,4188.0,45.03,10.0,25.0
126,G Gambhir (INDIA),58,104.0,5.0,4154.0,41.95,9.0,22.0
127,Mudassar Nazar (PAK),76,116.0,8.0,4114.0,38.09,10.0,17.0
128,AM Rahane (INDIA),63,105.0,11.0,4112.0,43.74,11.0,22.0
129,MJ Prior (ENG),79,123.0,21.0,4099.0,40.18,7.0,28.0
130,Saeed Anwar (PAK),55,91.0,2.0,4052.0,45.52,11.0,25.0
131,JM Bairstow (ENG),70,123.0,7.0,4030.0,34.74,6.0,21.0
132,M Vijay (INDIA),61,105.0,1.0,3982.0,38.28,12.0,15.0
133,Majid Khan (PAK),63,106.0,5.0,3931.0,38.92,8.0,19.0
134,MN Samuels (WI),71,127.0,7.0,3917.0,32.64,7.0,24.0
135,Hanif Mohammad (PAK),55,97.0,8.0,3915.0,43.98,12.0,15.0
136,Shakib Al Hasan (BDESH),56,105.0,7.0,3862.0,39.4,5.0,24.0
137,FMM Worrell (WI),51,87.0,9.0,3860.0,49.48,9.0,22.0
138,LD Chandimal (SL),55,100.0,7.0,3846.0,41.35,11.0,18.0
139,A Flintoff (ENG/ICC),79,130.0,9.0,3845.0,31.77,5.0,26.0
140,IJL Trott (ENG),52,93.0,6.0,3835.0,44.08,9.0,19.0
141,RJ Shastri (INDIA),80,121.0,14.0,3830.0,35.79,11.0,12.0
142,Imran Khan (PAK),88,126.0,25.0,3807.0,37.69,6.0,18.0
143,F du Plessis (SA),62,106.0,14.0,3799.0,41.29,9.0,21.0
144,CL Walcott (WI),44,74.0,7.0,3798.0,56.68,15.0,14.0
145,BA Stokes (ENG),60,110.0,4.0,3787.0,35.72,8.0,20.0
146,SM Pollock (SA),108,156.0,39.0,3781.0,32.31,2.0,16.0
147,SR Watson (AUS),59,109.0,3.0,3731.0,35.19,4.0,24.0
148,WJ Cronje (SA),68,111.0,9.0,3714.0,36.41,6.0,23.0
149,D Elgar (SA),60,104.0,9.0,3666.0,38.58,12.0,13.0
150,AG Prince (SA),66,104.0,16.0,3665.0,41.64,11.0,11.0
151,Mohammad Hafeez (PAK),55,105.0,8.0,3652.0,37.64,10.0,12.0
152,Mushtaq Mohammad (PAK),57,100.0,7.0,3643.0,39.17,10.0,19.0
153,RW Marsh (AUS),96,150.0,13.0,3633.0,26.51,3.0,16.0
154,DM Jones (AUS),52,89.0,11.0,3631.0,46.55,11.0,14.0
155,PR Umrigar (INDIA),59,94.0,8.0,3631.0,42.22,12.0,14.0
156,BJ Watling (NZ),67,106.0,15.0,3616.0,39.73,8.0,18.0
157,DL Amiss (ENG),50,88.0,10.0,3612.0,46.3,11.0,11.0
158,AW Greig (ENG),58,93.0,4.0,3599.0,40.43,8.0,20.0
159,Asif Iqbal (PAK),58,99.0,7.0,3575.0,38.85,11.0,12.0
160,TWM Latham (NZ),49,86.0,3.0,3554.0,42.81,11.0,16.0
161,AR Morris (AUS),46,79.0,3.0,3533.0,46.48,12.0,12.0
162,EH Hendren (ENG),51,83.0,9.0,3525.0,47.63,7.0,21.0
163,DM Bravo (WI),54,98.0,5.0,3506.0,37.69,8.0,17.0
